Name;ISIN;Sharpe Ratio;Annual Return;Std
BI Private Equity;DK0060079614;-0.58;-0.13;0.23
Danske Invest Bioteknologi Indeks KL;DK0010264456;0.73;0.19;0.26
Danske Obligationer Absolut - Lav Risiko;DK0060158590;1.22;0.01;0.01
Fundamental Invest Stock Pick;DK0016272602;1.26;0.23;0.18
Jyske Invest Emerging Markets Bond CL;DK0016272446;0.59;0.06;0.1
Jyske Invest Indiske Aktier KL;DK0010303296;0.54;0.11;0.21
Jyske Invest High Yield Corp Bond CL;DK0016262728;0.75;0.06;0.08
Maj Invest Kontra;DK0060037455;-0.17;-0.01;0.06
ValueInvest Japan A;DK0010246479;0.59;0.08;0.14
Investin HP Wealth Korte Danske Oblig KL;DK0061150984;1.33;0.01;0.01
iShares Global Clean Energy ETF USD Dist;IE00B1XNHC34;0.54;0.14;0.25
iShares STOXX Europe 600 Telecom (DE);DE000A0H08R2;0.19;0.04;0.2
iShares STOXX Europe 600 Food&Bev (DE);DE000A0H08H3;0.62;0.1;0.16
iShares MSCI Mexico Capped ETF USD Acc;IE00B5WHFQ43;0.08;0.02;0.22
iShares STOXX Europe 600 Trav & Leis(DE);DE000A0H08S0;0.4;0.1;0.25
iShares MSCI Korea ETF USD Dist;IE00B0M63391;0.4;0.08;0.2
iShares EM Infrastructure ETF USD Dist;IE00B2NPL135;0.12;0.03;0.23
